x,y,z,Time_in_sec,Intensities,2DscanId,PointId,nx,ny,nz,densities
3.54182 , 0.53469 , 1.87125 , 1.32293e+09,-1,105,572,-0.144127,0.053581,0.988108,5.46216
1.64716 , 0.465572 , 1.01307 , 1.32293e+09,-1,105,598,-0.991364,-0.130024,0.0170408,358.483
0.609998 , -0.386973 , 0.549702 , 1.32293e+09,-1,106,424,-0.652306,-0.200366,0.730992,7.72129
2.41554 , -0.580689 , 1.39054 , 1.32293e+09,-1,106,492,0.996635,-0.081854,0.00441732,39.3801
3.55079 , 0.626564 , 1.92216 , 1.32293e+09,-1,106,577,0.999628,-0.026844,0.00489348,284.964
1.4725 , -0.708154 , 0.969073 , 1.32293e+09,-1,107,448,0.0790299,0.76503,0.639127,47.9812
2.40501 , -0.655012 , 1.41508 , 1.32293e+09,-1,107,486,0.994173,0.10779,-0.000958905,5.68718
0.78578 , -0.402674 , 0.651767 , 1.32293e+09,-1,108,444,0.0205872,-0.711797,-0.702084,42.7192
1.69132 , -0.860706 , 1.1178 , 1.32293e+09,-1,109,444,0.00329781,0.996936,-0.0781556,98.3623
1.32267 , -1.61592 , 0.947566 , 1.32293e+09,-1,110,353,0.999922,-0.0121806,-0.00265693,426.099
0.337634 , -0.39047 , 0.440986 , 1.32293e+09,-1,110,364,-0.0318102,0.192256,-0.980829,55.1924
1.14496 , -0.609731 , 0.857945 , 1.32293e+09,-1,110,441,-0.00957807,0.688984,0.724713,147.363
1.66342 , -0.841381 , 1.1255 , 1.32293e+09,-1,110,445,0.00408641,0.110737,-0.993841,557.9
2.41699 , 0.535303 , 1.51826 , 1.32293e+09,-1,110,585,0.00194404,-0.999966,0.00804731,1397.03
1.41202 , -0.775887 , 1.03478 , 1.32293e+09,-1,112,439,-0.0698235,0.755404,0.651529,41.1677
1.51233 , -0.853986 , 1.1097 , 1.32293e+09,-1,113,437,-0.0132476,-0.470637,0.882227,4.38234
3.57955 , -0.0869477 , 2.26454 , 1.32293e+09,-1,113,536,0.463441,0.00251871,-0.886124,3.58507
3.57983 , -0.068961 , 2.26474 , 1.32293e+09,-1,113,537,0.463441,0.00251871,-0.886124,3.58507
2.54628 , 0.170072 , 1.72426 , 1.32293e+09,-1,114,554,-0.329443,0.909331,-0.254136,4.64273
2.54646 , 0.183035 , 1.72439 , 1.32293e+09,-1,114,555,-0.329443,0.909331,-0.254136,4.64273
2.55314 , 0.498452 , 1.72894 , 1.32293e+09,-1,114,579,-0.144127,0.053581,0.988108,5.46216
2.54924 , 0.52431 , 1.72677 , 1.32293e+09,-1,114,581,-0.144127,0.053581,0.988108,5.46216
0.243074 , 0.543324 , 0.412213 , 1.32293e+09,-1,115,783,0.998189,-0.0531579,-0.0281717,303.151
2.41098 , -0.652322 , 1.71183 , 1.32293e+09,-1,116,489,-0.97112,0.238493,-0.0068079,35.2563
2.41339 , -0.639946 , 1.7133 , 1.32293e+09,-1,116,490,-0.733449,-0.679717,-0.00606458,33.2532
1.17579 , 0.92606 , 0.975525 , 1.32293e+09,-1,116,675,0.631732,0.377863,-0.676857,194.067
1.33703 , -0.843921 , 1.11218 , 1.32293e+09,-1,118,430,-0.0132476,-0.470637,0.882227,4.38234
2.41113 , -0.64007 , 1.8267 , 1.32293e+09,-1,119,491,-0.733449,-0.679717,-0.00606458,33.2532
2.14747 , 0.527296 , 1.75767 , 1.32293e+09,-1,122,586,0.0966418,-0.992256,0.0780346,401.637
1.2888 , -0.656165 , 1.18115 , 1.32293e+09,-1,123,452,0.609688,0.769422,-0.190445,1.98416
2.39331 , -0.140056 , 1.96342 , 1.32293e+09,-1,123,530,0.999914,0.00528537,-0.0120019,492.679
1.06894 , -0.784907 , 1.04251 , 1.32293e+09,-1,124,420,0.0108799,0.754529,0.656177,214.067
1.82202 , 0.68785 , 1.59046 , 1.32293e+09,-1,124,608,0.0132049,0.999893,0.00625387,290.684
0.761559 , 1.15973 , 0.825132 , 1.32293e+09,-1,124,741,-0.331102,-0.410925,0.849419,9.83451
2.40583 , -0.658086 , 2.08148 , 1.32293e+09,-1,126,492,0.994173,0.10779,-0.000958905,5.68718
1.06989 , -0.686302 , 1.11492 , 1.32293e+09,-1,128,436,0.101589,0.98893,-0.108157,527.479
2.33076 , -0.690219 , 2.10862 , 1.32293e+09,-1,128,489,-0.0472233,-0.99842,0.0304624,2.68649
1.96742 , 0.506933 , 1.82531 , 1.32293e+09,-1,128,586,0.136535,-0.990545,0.0133423,247.419
0.710995 , 1.24975 , 0.837 , 1.32293e+09,-1,128,753,-0.355201,-0.887614,-0.293214,10.1196
0.696802 , 1.24825 , 0.825811 , 1.32293e+09,-1,128,755,-0.355201,-0.887614,-0.293214,10.1196
2.3034 , -0.689546 , 2.13733 , 1.32293e+09,-1,129,489,-0.0472233,-0.99842,0.0304624,2.68649
2.40664 , -0.662835 , 2.22099 , 1.32293e+09,-1,129,493,0.994173,0.10779,-0.000958905,5.68718
2.12512 , 0.705517 , 1.99656 , 1.32293e+09,-1,129,598,0.000933321,0.999999,0.00121731,19.9318
-0.0133888 , -0.465703 , 0.262225 , 1.32293e+09,-1,130,189,-0.0036828,-0.999979,-0.00538442,59.507
0.275314 , 1.14937 , 0.521766 , 1.32293e+09,-1,133,823,0.0293811,0.106904,0.993835,1564.71
1.70608 , 0.68252 , 1.81525 , 1.32293e+09,-1,134,606,0.0141877,0.999437,-0.0304059,4072.31
1.32711 , 0.674869 , 1.47384 , 1.32293e+09,-1,134,622,0.000342855,1,0.000689396,390.496
-0.446152 , -2.15826 , -0.193302 , 1.32293e+09,-1,141,118,0.0376449,-0.999291,-0.000858945,3607.12
1.62539 , -0.362055 , 2.23667 , 1.32293e+09,-1,147,509,0.000733752,0.00400863,0.999992,215.188
0.631388 , -0.814358 , 1.07599 , 1.32293e+09,-1,149,391,-0.011421,-0.999901,0.00822767,8.25238
1.55375 , -0.608378 , 2.23256 , 1.32293e+09,-1,149,487,0.609688,0.769422,-0.190445,1.98416
0.622843 , -0.833667 , 1.10117 , 1.32293e+09,-1,151,390,-0.00486043,-0.999988,-0.000725704,6.90684
1.29733 , -0.688528 , 1.98396 , 1.32293e+09,-1,151,471,0.591586,-0.666397,0.453808,2.03228
1.42187 , -0.62393 , 2.23306 , 1.32293e+09,-1,153,484,0.609688,0.769422,-0.190445,1.98416
-0.417488 , -1.6248 , -0.296948 , 1.32293e+09,-1,154,92,0.635729,-0.751332,0.177056,53.2726
0.976486 , -0.664586 , 1.65479 , 1.32293e+09,-1,154,457,0.00581426,-0.999971,0.00494417,2080.45
0.707326 , 1.26603 , 1.30894 , 1.32293e+09,-1,155,718,0.000622159,-0.999995,0.00314712,101.353
1.27507 , 1.08528 , 2.16227 , 1.32293e+09,-1,156,641,-0.999967,-0.000890857,-0.00805552,1790.24
0.232298 , -0.408458 , 0.650571 , 1.32293e+09,-1,158,381,0.959451,-0.256727,0.116379,0.614224
1.05692 , 1.27593 , 1.91803 , 1.32293e+09,-1,158,671,-0.00438635,-0.99999,-0.000674958,479.094
1.16932 , -0.642089 , 2.22633 , 1.32293e+09,-1,161,479,-0.64016,-0.678919,0.359532,17.9799
1.17378 , 0.508587 , 2.23811 , 1.32293e+09,-1,161,590,-0.00622994,0.00367203,0.999974,174.967
0.148261 , -2.10488 , 0.553774 , 1.32293e+09,-1,163,220,-0.963458,-0.10826,-0.245008,0.603352
1.04802 , 0.190453 , 2.23633 , 1.32293e+09,-1,165,560,-0.00720141,0.00198234,0.999972,45.0019
0.779189 , -0.670489 , 1.86695 , 1.32293e+09,-1,168,460,0.000615208,0.999995,0.00323519,42.2697
0.959708 , -0.430946 , 2.22854 , 1.32293e+09,-1,168,497,-0.64016,-0.678919,0.359532,17.9799
0.372849 , -0.810209 , 1.07666 , 1.32293e+09,-1,169,377,-0.011421,-0.999901,0.00822767,8.25238
0.0197628 , -0.519411 , 0.357094 , 1.32293e+09,-1,170,238,-0.963458,-0.10826,-0.245008,0.603352
0.0197033 , -0.5227 , 0.360259 , 1.32293e+09,-1,171,239,-0.963458,-0.10826,-0.245008,0.603352
0.882336 , -0.424483 , 2.22731 , 1.32293e+09,-1,171,497,-0.0336812,-0.834273,0.550323,25.2854
0.847605 , -0.370421 , 2.15241 , 1.32293e+09,-1,171,501,0.837223,0.516111,0.180793,0.698633
0.843096 , -0.349696 , 2.14276 , 1.32293e+09,-1,171,503,0.837223,0.516111,0.180793,0.698633
0.823595 , -0.350024 , 2.15333 , 1.32293e+09,-1,172,503,0.837223,0.516111,0.180793,0.698633
0.835927 , 0.41679 , 2.241 , 1.32293e+09,-1,173,584,0.00482557,-0.00116628,0.999988,673.188
0.0177099 , -0.518952 , 0.366617 , 1.32293e+09,-1,174,242,-0.963458,-0.10826,-0.245008,0.603352
0.0172535 , -0.520254 , 0.36938 , 1.32293e+09,-1,175,243,-0.963458,-0.10826,-0.245008,0.603352
0.590008 , 0.574671 , 2.23781 , 1.32293e+09,-1,183,602,0.000925417,-0.0105404,0.999944,1813.79
0.243643 , -0.980642 , 1.3239 , 1.32293e+09,-1,188,377,-0.438481,-0.0695815,0.896043,2.95247
0.253356 , -0.95031 , 1.4122 , 1.32293e+09,-1,189,389,-0.0100743,0.100873,0.994848,174.666
0.108543 , -2.14325 , 1.29745 , 1.32293e+09,-1,199,288,-0.438481,-0.0695815,0.896043,2.95247
0.125324 , -0.130585 , 2.2313 , 1.32293e+09,-1,204,526,0.0600658,-0.0482175,0.997029,17681.7
0.103461 , -0.15648 , 2.22467 , 1.32293e+09,-1,205,523,0.959451,-0.256727,0.116379,0.614224
-0.0190121 , -2.19482 , 0.58055 , 1.32293e+09,-1,207,218,0.0432441,0.492673,-0.869139,55575.1
0.0191867 , -0.820276 , 1.3723 , 1.32293e+09,-1,207,399,0.00325529,-0.0373981,0.999295,18281.6
0.0609428 , 0.598463 , 2.23455 , 1.32293e+09,-1,207,607,0.00716127,0.000904568,0.999974,95.2115
0.0610614 , 0.628354 , 2.238 , 1.32293e+09,-1,207,610,-0.00578811,0.00281163,0.999979,1120.3
0.019977 , -0.343 , 2.2252 , 1.32293e+09,-1,209,502,0.959451,-0.256727,0.116379,0.614224
-0.0404812 , -2.14864 , 1.07891 , 1.32293e+09,-1,212,268,-0.012468,0.999822,0.0141582,80.4022
-0.040519 , -2.14487 , 1.08827 , 1.32293e+09,-1,212,269,-0.890655,0.000619236,0.454679,0.952704
-0.118472 , 0.637156 , 2.23268 , 1.32293e+09,-1,215,611,0.0618784,-0.90164,0.428037,30.257
-0.155128 , -0.986221 , 1.3362 , 1.32293e+09,-1,221,376,-0.453096,-0.102746,0.885521,1.4691
-0.0200303 , -0.436747 , 0.0840686 , 1.32293e+09,-1,226,114,-0.00199076,0.115434,0.993313,216.901
-0.212469 , -2.13588 , 1.17257 , 1.32293e+09,-1,228,279,-0.453096,-0.102746,0.885521,1.4691
-0.470789 , -0.333893 , 2.11446 , 1.32293e+09,-1,232,502,-0.947874,-0.307338,0.0841283,3531.94
-0.497582 , -0.692128 , 1.9576 , 1.32293e+09,-1,235,457,-0.012971,0.999902,-0.00524153,3.41119
-0.526185 , -0.145042 , 1.90111 , 1.32293e+09,-1,237,522,-0.0029492,-0.00530984,0.999982,3329.4
-0.631404 , -0.513522 , 1.59931 , 1.32293e+09,-1,248,466,0.0702177,0.566021,0.821395,1299.41
-0.496027 , -1.78078 , 1.15893 , 1.32293e+09,-1,252,304,-0.999854,0.00490027,-0.016368,11.5846
-0.859571 , 0.614769 , 1.90086 , 1.32293e+09,-1,252,613,0.966156,-0.0280777,0.256427,10.5
-0.495554 , -1.77702 , 1.13295 , 1.32293e+09,-1,253,302,-0.999854,0.00490027,-0.016368,11.5846
-0.491604 , -1.74405 , 1.12483 , 1.32293e+09,-1,253,303,-0.999854,0.00490027,-0.016368,11.5846
-0.497038 , -1.80969 , 1.10604 , 1.32293e+09,-1,254,298,0.999997,0.000752578,-0.0022304,5.27879
-0.497411 , -0.796656 , 1.10232 , 1.32293e+09,-1,254,388,0.999997,0.000752578,-0.0022304,5.27879
-0.498999 , -0.792233 , 1.10541 , 1.32293e+09,-1,254,389,0.999997,0.000752578,-0.0022304,5.27879
-0.796233 , 0.220231 , 1.68116 , 1.32293e+09,-1,254,571,0.99476,0.0908318,0.0469283,21.3796
-0.270166 , 1.16417 , 0.627828 , 1.32293e+09,-1,256,810,-0.477502,0.828099,-0.293674,293.944
-0.272738 , -2.13059 , 0.633034 , 1.32293e+09,-1,257,233,-0.890655,0.000619236,0.454679,0.952704
-1.17293 , -0.421449 , 2.24564 , 1.32293e+09,-1,257,500,0.0232983,-0.0302294,0.999271,13221.3
-1.17859 , 0.7309 , 2.25108 , 1.32293e+09,-1,257,610,-0.0175554,-0.018073,0.999683,2338.59
-1.32275 , -0.657136 , 2.24366 , 1.32293e+09,-1,262,480,-0.00202288,-0.00102134,0.999997,586.966
-1.3647 , -0.699781 , 2.20358 , 1.32293e+09,-1,264,476,-0.012971,0.999902,-0.00524153,3.41119
-1.373 , -0.705179 , 2.17304 , 1.32293e+09,-1,265,475,-0.012971,0.999902,-0.00524153,3.41119
-0.841306 , 0.655428 , 1.38386 , 1.32293e+09,-1,265,639,-0.382391,0.923932,-0.0112279,292.449
-1.36945 , -0.701428 , 1.98082 , 1.32293e+09,-1,269,471,-0.012971,0.999902,-0.00524153,3.41119
-1.37418 , -0.704766 , 1.94774 , 1.32293e+09,-1,270,470,-0.012971,0.999902,-0.00524153,3.41119
0.0494121 , 0.103226 , 0.124433 , 1.32293e+09,-1,291,1076,0.410738,-0.00702298,0.911726,537.739
-0.486912 , 0.718039 , 0.557819 , 1.32293e+09,-1,292,743,0.999666,0.0257028,0.00266922,4562.34
-0.405633 , -2.15921 , 0.480004 , 1.32293e+09,-1,295,231,0.0519395,0.993602,-0.100283,12096.9
-0.508437 , -0.430415 , 0.528571 , 1.32293e+09,-1,298,392,0.999961,-0.000703956,0.00881492,1.97621
-0.501213 , 0.622192 , 0.482928 , 1.32293e+09,-1,303,725,-0.999997,-0.000548558,0.00247044,73.4172
0.562489 , 0.727047 , -0.183613 , 1.32293e+09,-1,303,1068,-0.0046844,-0.999983,-0.0035364,3918.08
-0.511564 , -0.430561 , 0.431213 , 1.32293e+09,-1,312,389,0.999961,-0.000703956,0.00881492,1.97621
-0.50641 , -0.429609 , 0.352865 , 1.32293e+09,-1,324,383,0.999961,-0.000703956,0.00881492,1.97621
0.914023 , 1.15717 , -0.0890379 , 1.32293e+09,-1,329,1060,-0.258552,-0.865629,-0.428762,746.333
-0.503959 , 0.267964 , 0.250492 , 1.32293e+09,-1,342,653,-0.995071,0.0764953,0.0631118,358462
1.32367 , -1.64578 , -0.00839858 , 1.32293e+09,-1,343,24,0.993877,-0.110487,0.000818614,19.5343
-0.501472 , 0.635684 , 0.248003 , 1.32293e+09,-1,343,748,0.998908,-0.000832995,0.0467171,291.964
